vender,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
GE_Revolution,GE_CCI_small_3,Low Density,19.6,15.680863190091323,4.2,4.549964438072585,0.2,-0.09011970713924355
GE_Revolution,GE_CCI_small_3,Medium Density,39.3,31.49614064899168,8.5,6.3451540425817035,0.3,-0.08039188800210963
GE_Revolution,GE_CCI_small_3,High Density,78.5,68.82413542375053,17.0,13.226239653142148,0.6,0.5670585646424185
GE_Revolution,GE_CCI_small_4,Low Density,19.6,15.846141653239446,4.2,2.9444918996646887,0.2,0.16113437801695288
GE_Revolution,GE_CCI_small_4,Medium Density,39.3,31.843766814090333,8.5,7.791519853201968,0.3,0.46858455481947453
GE_Revolution,GE_CCI_small_4,High Density,78.5,67.01363708167695,17.0,14.025463142643197,0.6,0.5168686397324148
GE_Revolution,GE_CCI_small_5,Low Density,19.6,15.123028840572616,4.2,4.435418635624422,0.2,0.6948173055699652
GE_Revolution,GE_CCI_small_5,Medium Density,39.3,32.93932061867311,8.5,7.0975407065555265,0.3,0.7944956061958243
GE_Revolution,GE_CCI_small_5,High Density,78.5,67.43721457380997,17.0,13.112848010908676,0.6,0.6080449834213502
Philips_Brilliance_iCT,iCT_large_SER_0001,Low Density,19.6,15.9948264643521,4.2,3.8948934183424186,0.2,0.5188672943960374
Philips_Brilliance_iCT,iCT_large_SER_0001,Medium Density,39.3,32.07937036087831,8.5,6.128983710518366,0.3,0.18456167484101987
Philips_Brilliance_iCT,iCT_large_SER_0001,High Density,78.5,76.13612870495687,17.0,14.482205276873072,0.6,0.4422294906026498
Philips_Brilliance_iCT,iCT_large_SER_0003,Low Density,19.6,17.40742180341389,4.2,3.926164335311444,0.2,-0.41464852269031066
Philips_Brilliance_iCT,iCT_large_SER_0003,Medium Density,39.3,33.9735088876393,8.5,5.608758392981442,0.3,0.3693009156632744
Philips_Brilliance_iCT,iCT_large_SER_0003,High Density,78.5,77.19265806129505,17.0,12.976811696449222,0.6,1.2854350930437815
Philips_Brilliance_iCT,iCT_large_SER_0005,Low Density,19.6,18.192798202652263,4.2,3.8990434382685493,0.2,0.2996814745524291
Philips_Brilliance_iCT,iCT_large_SER_0005,Medium Density,39.3,34.816936116331284,8.5,5.071695379663584,0.3,0.8072272844294379
Philips_Brilliance_iCT,iCT_large_SER_0005,High Density,78.5,74.33125805441323,17.0,12.754504162669228,0.6,0.9763993567255599
Philips_Brilliance_iCT,iCT_large_SER_0007,Low Density,19.6,13.976480009255454,4.2,5.0287531319889895,0.2,-0.3258980514369769
Philips_Brilliance_iCT,iCT_large_SER_0007,Medium Density,39.3,32.41174538535998,8.5,4.635818354485226,0.3,0.443997954769284
Philips_Brilliance_iCT,iCT_large_SER_0007,High Density,78.5,75.43821611447501,17.0,10.000649756734772,0.6,0.4143293580036028
Philips_Brilliance_iCT,iCT_large_SER_0009,Low Density,19.6,15.861726636641539,4.2,2.6655800383002766,0.2,0.834184374406587
Philips_Brilliance_iCT,iCT_large_SER_0009,Medium Density,39.3,33.54839767554383,8.5,7.857755702939911,0.3,0.0874177379264528
Philips_Brilliance_iCT,iCT_large_SER_0009,High Density,78.5,73.93975986375516,17.0,14.191664744807168,0.6,1.3773660342105956
Philips_Brilliance_iCT,iCT_small_SER_0001,Low Density,19.6,16.986634628824895,4.2,3.9277294506495175,0.2,0.2951771006031045
Philips_Brilliance_iCT,iCT_small_SER_0001,Medium Density,39.3,36.14020060836215,8.5,6.8144496496993625,0.3,0.40675212043233266
Philips_Brilliance_iCT,iCT_small_SER_0001,High Density,78.5,76.91487038949273,17.0,14.939171754397902,0.6,0.37277081342440105
Philips_Brilliance_iCT,iCT_small_SER_0003,Low Density,19.6,16.790148400959662,4.2,4.020338702696884,0.2,0.12204424406068203
Philips_Brilliance_iCT,iCT_small_SER_0003,Medium Density,39.3,35.75123263549637,8.5,6.7873862889720336,0.3,0.18279640026847255
Philips_Brilliance_iCT,iCT_small_SER_0003,High Density,78.5,79.57894216564458,17.0,14.446122216342985,0.6,0.5809445898314461
Philips_Brilliance_iCT,iCT_small_SER_0005,Low Density,19.6,16.405500746454173,4.2,2.9069768105479756,0.2,0.2750609184796568
Philips_Brilliance_iCT,iCT_small_SER_0005,Medium Density,39.3,35.524307848198866,8.5,6.584082935963129,0.3,0.07590634277148454
Philips_Brilliance_iCT,iCT_small_SER_0005,High Density,78.5,79.44835849070756,17.0,13.211749970074457,0.6,0.16036556337031205
Philips_Brilliance_iCT,iCT_small_SER_0007,Low Density,19.6,16.777836666735247,4.2,3.3692410026706385,0.2,0.04663126003705595
Philips_Brilliance_iCT,iCT_small_SER_0007,Medium Density,39.3,34.37130406617265,8.5,6.2125326968188395,0.3,-0.16589620524817567
Philips_Brilliance_iCT,iCT_small_SER_0007,High Density,78.5,76.18381348841811,17.0,13.46238341736646,0.6,0.7390395043556718
